name,muscle,equipment,movement_images,difficulty
Cable Seated Crunch,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Cable_Seated_Crunch_Abs_Core_Exercise_Demo_How-to.gif,Beginner
Cable Standing Crunch,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Cable_Standing_Crunch_Abdominals_Core_Exercise_Demo_How-to.gif,Beginner
Cocoons,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Cocoons_Ab_Core_Exercise_Demo_How-to.gif,Beginner
Crunch - Hands Overhead,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Crunch_Hands_Overhead_Core_Ab_Exercise_Demo_How-to.gif,Beginner
Crunch Arms Crossed,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Crunch_Arms_Crossed_Exercise_Demo_How-to.gif,Beginner
Crunch Arms Down,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Crunch_Arms_Down_Abs_Core_Exercise_Demo_How-to.gif,Beginner
Crunch Up,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Crunch_Up_Exercise_Demo_How-to.gif,Beginner
Dead Bug,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Dead_Bug_Core_Ab_Exercise_Demo_How-to.gif,Beginner
Decline Oblique Twist,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Decline_Oblique_Twist_Abs_Core_Exercise_Demo_How-to.gif,Beginner
Decline Sit-up,● Abs,Bench,https://cdn.fitsw.com/assets/img/exerciseGifs/Decline_Sit-up_Exercise_Demo_How-to.gif,Intermediate
Dumbbell 45 Degree Side Bend,● Abs,Dumbbells,https://cdn.fitsw.com/assets/img/exerciseGifs/Dumbbell_45_Degree_Side_Bend_Exercise_Demo_How-to.gif,Beginner
Dumbbell Push Crunch,● Abs,Dumbbells,https://cdn.fitsw.com/assets/img/exerciseGifs/Dumbbell_Push_Crunch_Exercise_Demo_How-to.gif,Intermediate
Dumbbell Push Sit-up,● Abs,Dumbbells,https://cdn.fitsw.com/assets/img/exerciseGifs/Dumbbell_Push_Sit-up_Abs_Core_Exercise_Demo_How-to.gif,Intermediate
Dumbbell Toe Touch Crunch,● Abs,Dumbbells,https://cdn.fitsw.com/assets/img/exerciseGifs/Dumbbell_Toe_Touch_Exercise_Demo_How-to.gif,Intermediate
Dumbbell V-Sit Cross Jab,● Abs,Dumbbells,https://cdn.fitsw.com/assets/img/exerciseGifs/Dumbbell_V-Sit_Cross_Jab_Ab_Core_Exercise_Demo_How-to.gif,Intermediate
Elbow To Knee,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Elbow_to_Knee_Ab_Core_Exercise_Demo_How-to.gif,Beginner
Exercise Ball Plank Twist,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Exercise_Ball_Plank_Twist_Exercise_Demo_How-to.gif,Intermediate
Floor Wiper,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Floor_Wiper_Abs_Core_Exercise_Demo_How-to.gif,Beginner
Flutter Kicks,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Flutter_Kicks_Exercise_Demo_How-to.gif,Beginner
Forearm Plank,● Abs,Dumbbells,https://cdn.fitsw.com/assets/img/exerciseGifs/Forearm_Plank_Exercise_Demo_How-to.gif,Beginner
Gorilla Chin/Crunch,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Gorilla_Chin_Crunch_Abs_Core_Exercise_Demo_How-to.gif,Intermediate
Half V-up on Box,● Abs,Box,https://cdn.fitsw.com/assets/img/exerciseGifs/Half-V-up-on-Box.gif,Beginner
Hanging Knee Raises,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Hanging_Knee_Raise_Core_Hip_Flexors_Ab_Exercise_Demo_How-to.gif,Intermediate
Hanging Leg Hip Raise,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Hanging_Leg_Hip_Raise_Abs_Core_Exercise_Demo_How-to.gif,Advanced
Hanging Leg Lift,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Hanging_Leg_Lift_Exercise_Demo_How-to.gif,Advanced
Hanging Oblique Knee Raise,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Hanging_Oblique_Knee_Raise_Abs_Core_Oblique_Exercise_Demo_How-to.gif,Advanced
Hanging Wind Sprints,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Hanging_Wind_Springs_Abs_Core_Exercise_Demo_How-to_Abdominal_Exercise.gif,Intermediate
Hollow Hold,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Hollow_Hold.gif,Intermediate
Hollow Rocks,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Hollow-Rocks.gif,Intermediate
Incline Crunch,● Abs,Bench,https://cdn.fitsw.com/assets/img/exerciseGifs/Incline_Crunch_Exercise_Demo_How-to.gif,Beginner
Incline Leg Hip Raise,● Abs,Bench,https://cdn.fitsw.com/assets/img/exerciseGifs/Incline_Leg_Hip_Raise_Exercise_Demo_How-to.gif,Beginner
Incline Twisting Crunch,● Abs,Bench,https://cdn.fitsw.com/assets/img/exerciseGifs/Incline_Twisting_Crunch_Exercise_Demo_How-to.gif,Intermediate
Incline Twisting Sit-up,● Abs,Bench,https://cdn.fitsw.com/assets/img/exerciseGifs/Incline_Twisting_Sit-up_Exercise_Demo_How-to.gif,Intermediate
Jack Knives with Med Ball Balance,● Abs,Medicine Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Jack-Knives-with-Med-Ball-Balance.gif,Intermediate
Jackknife Sit-up,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Jackknife_Sit_Up_Exercise_Demo_How-to.gif,Beginner
Kipping Toes To Bar,● Abs,Pull-up Bar,https://cdn.fitsw.com/assets/img/exerciseGifs/Toes-To-Bar.gif,Intermediate
Kneeling Cable Crunch With Alternating Oblique Twists,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Kneeling_Cable_Crunch_With_Alternating_Oblique_Twists_Core_Abdominal_Exercise_Demo_How-to.gif,Beginner
Kneeling Oblique Twist,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Kneeling_Oblique_Twist_Abs_-_Exercise_Demo.gif,Beginner
L Hang,● Abs,Pull-up Bar,https://cdn.fitsw.com/assets/img/exerciseGifs/L-Hang.gif,Advanced
Leg Raise Pulse-up with Tension Drop,● Abs,Bench,https://cdn.fitsw.com/assets/img/exerciseGifs/Leg-Raise-Pulse-up-with-Tension-Drop.gif,Intermediate
Leg Raise with Pulse Up,● Abs,Bench,https://cdn.fitsw.com/assets/img/exerciseGifs/Leg-Raise-with-Pulse-Up.gif,Advanced
Lying Leg Hip Raise,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Lying_Leg_Hip_Raise_Exercise_Demo_How-to.gif,Beginner
Lying Leg Raises,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Lying_Leg_Raise_Exercise_Demo_How-to.gif,Beginner
Lying Twist,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Lying_Twist_Abs__Core_Exercise_Demo_How-to.gif,Intermediate
Machine Abdominal Crunch,● Abs,Machine,https://cdn.fitsw.com/assets/img/exerciseGifs/Machine_Abdominal_Crunch_Ab_Exercise_Demo_How-to.gif,Intermediate
Medicine Ball Floor Crunch,● Abs,Medicine Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Medicine_Ball_Floor_Crunch_Exercise_Demo_How-to.gif,Beginner
Medicine Ball Rotary Throw w Crossover Step,● Abs,Medicine Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Medicine_Ball_Side_Toss_w_Shuffle_Step_Core_Exercise_Demo_How-to.gif,Advanced
Medicine Ball Sit-up,● Abs,Medicine Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Medicine_Ball_Sit-ups_Abs_Core_Exercise_Demo_How-to.gif,Intermediate
Oblique Cable Crunch,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Oblique_Cable_Crunch_Core_Ab_Exercise_Demo_How-to.gif,Intermediate
Oblique Crunch With Plate or Dumbbell,● Abs,Weight Plate,https://cdn.fitsw.com/assets/img/exerciseGifs/Oblique_Crunch_with_Plate_Core_Obliques_Ab_Exercise_Demo_How-to.gif,Beginner
Oblique Crunches,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Oblique_Crunches_Ab_Core_Exercise_Demo_How-to.gif,Beginner
Otis-Up,● Abs,Weight Plate,https://cdn.fitsw.com/assets/img/exerciseGifs/Otis-up_Core_Ab_Exercise_Demo_How-to.gif,Beginner
Palloff Press,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Palloff_Press_Exercise_Demo_How-to.gif,Beginner
Plate Twist,● Abs,Weight Plate,https://cdn.fitsw.com/assets/img/exerciseGifs/Plate_Twist_Abs_Core_Exercise_Demo_How-to.gif,Intermediate
Pulse-up with Medicine Ball,● Abs,"Bench, Medicine Ball",https://cdn.fitsw.com/assets/img/exerciseGifs/Pulse-up-with-Medicine-Ball.gif,Intermediate
Push Pull Combo,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Push_Pull_Combo_Exercise_Demo_How-to.gif,Intermediate
Resistaband Hi-Lo Twist,● Abs,Resistance Band,https://cdn.fitsw.com/assets/img/exerciseGifs/Resistance_Hi-lo_Twist_Abs_Obliques_Core_Exercise_Demo_How-to.gif,Intermediate
Reverse Crunch Advanced,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Reverse-Crunch-Advanced.gif,Advanced
Rope Crunch,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Rope_Crunch_Core_Ab_Exercise_Demo_How-to.gif,Beginner
Russian Twist With Medicine Ball,● Abs,Medicine Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Russian-Twist-With-Medicine-Ball.gif,Beginner
Russian Twists,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Russian_Twists_Exercise_Demo_How-to.gif,Beginner
Russian Twists with Medicine Ball Arms Extended,● Abs,Medicine Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Seated_Russian_Twist_with_Medicine_Ball_Exercise_Demo_How-to.gif,Beginner
Seated Flat Bench Leg Pull-In,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Seated_Flat_Bench_Leg_Pull-in_Ab_Core_Exercise_Demo_How-to.gif,Beginner
Side Bridge,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Side_Bridge_Core_Exercise_Demo_How-to.gif,Beginner
Side Crunch,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Side_Crunch_Abs_Core_Exercise_Demo_How-to.gif,Intermediate
Side Plank Hip Ups With Arm Up,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Side_Plank_Hip_Ups_with_Hand_Up_Core_Oblique_Exercise_Demo_How-to.gif,Beginner
Single-Arm High-Pulley Cable Side Bends,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/One-Arm_High-Pulley_Cable_Side_Bends_Core_Abdominals_Obliques_Exercise_Demo_How-to.gif,Beginner
Single-Arm Medicine Ball Slam,● Abs,Medicine Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/One_arm_medicine_ball_slam_Abs_Core_Exercise_Demo_How-to.gif,Beginner
Sit-up,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Sit_Up_Exercise_Demo_How-to.gif,Beginner
Sit-up And Throw,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Sit_Up_And_Throw_Ab_Exercise_Demo_How-to.gif,Beginner
Sledgehammer Swings,● Abs,Other,https://cdn.fitsw.com/assets/img/exerciseGifs/Sledgehammer_Swings_Abs_Full_Body_Core_Exercise_Demo_How-to.gif,Beginner
Smith Machine Hip Raise,● Abs,Smith Machine,https://cdn.fitsw.com/assets/img/exerciseGifs/Smith_Machine_Hip_Raise_Abs_Core_Exercise_Demo_How-to.gif,Beginner
Spell Caster,● Abs,Dumbbells,https://cdn.fitsw.com/assets/img/exerciseGifs/Spell_Caster_Core_Abdominal_Exercise_Demo_How-to.gif,Beginner
Spiderman Planks,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Spiderman_Planks_Exercise_Demo_How-to.gif,Intermediate
Stability Ball Ab Transfer Double Taps,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Stability-Ball-Ab-Transfer-Double-Taps.gif,Intermediate
Stability Ball Ab-hold Toe Taps,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Stability-Ball-Ab-hold-Toe-Taps.gif,Intermediate
Stability Ball Crunch,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Stability_Ball_Crunch_Exercise_Demo_How-to.gif,Intermediate
Stability Ball Pass,● Abs,Medicine Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Stability_Ball_Pass_Exercise_Demo_How-to.gif,Intermediate
Stability Ball Pull-In,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Exercise_Ball_Pull-in_Core_Ab_Exercise_Demo_How-to.gif,Intermediate
Stability Ball Rollout,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Stability_Ball_Rollout_Exercise_Demo_How-to.gif,Beginner
Standing Cable Anti-Rotation Chop,● Abs,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Standing_Cable_Anti-Rotation_Chop_Core_Abs_Oblique_Exercise_Demo_How-to.gif,Beginner
Standing Knee to Elbow Crunch,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Standing_Elbow_to_Knee_Crunch_Exercise_Demo_How-to.gif,Beginner
Stomach Vacuum,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Stomach_Vacuum_Core_Abdominals_Exercise_Demo_How-to.gif,Beginner
Suitcase Crunches,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Suitcase_Crunches_Exercise_Demo_How-to.gif,Beginner
Suspended Fallout,● Abs,TRX,https://cdn.fitsw.com/assets/img/exerciseGifs/Suspended_Fallout_Exercise_Demo_How-to.gif,Intermediate
Suspended TRX Jack Knife,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Suspended_TRX_Jack_Knife_Core_Ab_Exercise_Demo_How-to.gif,Beginner
Suspended TRX Pull Through,● Abs,TRX,https://cdn.fitsw.com/assets/img/exerciseGifs/Suspended_TRX_Pull_Through_Ab_Core_Exercise_Demo_How-to.gif,Intermediate
Suspended TRX Rollout,● Abs,TRX,https://cdn.fitsw.com/assets/img/exerciseGifs/Suspended_TRX_Rollout_Ab_Core_Exercise_Demo_How-to.gif,Intermediate
Suspended TRX Side Bend,● Abs,TRX,https://cdn.fitsw.com/assets/img/exerciseGifs/TRX_Side_Bend_Abs_-_Exercise_Demo.gif,Intermediate
Suspended TRX Side Bridge,● Abs,TRX,https://cdn.fitsw.com/assets/img/exerciseGifs/Suspended__TRX_Side_Bridge_Core_Abs_Oblique_Exercise_Demo_How-to.gif,Intermediate
Suspended TRX Twist,● Abs,TRX,https://cdn.fitsw.com/assets/img/exerciseGifs/Suspended__TRX_Twist_Core_Abs_Oblique_Exercise_Demo_How-to.gif,Intermediate
Toe Driver,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Toe_Driver_Abs_Core_Exercise_Demo_How-to.gif,Beginner
Toe Touch Crunches,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Lying_Toe_Touch_Crunch_Exercise_Demo_How-to.gif,Beginner
Toes to Bar,● Abs,Pull-up Bar,https://cdn.fitsw.com/assets/img/exerciseGifs/Toes-to-Bar.gif,Advanced
Twisting Crunch,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Twisting_Crunch_Ab_Exercise_Demo_How-to.gif,Intermediate
Twisting Sit-up,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Twisting_Sit_Up_Abs_Core_Oblique_Exercise_Demo_How-to.gif,Beginner
Up and Down Plank,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Up_And_Down_Plank_Abs__Core_Exercise_Demo_How-to.gif,Intermediate
V-Ups Toe Touches,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/V-up-Toe-Touches.gif,Beginner
Vertical Leg Hip Raise,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Vertical_Leg_Hip_Raise_Exercise_Demo_How-to.gif,Intermediate
Vertical Straight Leg Raise,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Vertical_Leg_Hip_Raise_Abs_-_Exercise_Demo.gif,Intermediate
Weight Plate Behind Head Crunch,● Abs,Weight Plate,https://cdn.fitsw.com/assets/img/exerciseGifs/Weight-Plate-Behind-Head-Crunch.gif,Beginner
Weight Plate Behind Head Crunch on Bench,● Abs,"Bench, Weight Plate",https://cdn.fitsw.com/assets/img/exerciseGifs/Weighted_Plate_Crunch_Behind_the_Head_Abs_Core_Exercise_Demo_How-to.gif,Intermediate
Weighted Crunches,● Abs,Weight Plate,https://cdn.fitsw.com/assets/img/exerciseGifs/Weighted_Crunches_-_Ab_Core_Exercise_Demo_How-to.gif,Beginner
Weighted Incline Leg Hip Raise,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Weighted_Incline_Leg_Hip_Raise_Abs_Core_Hip_Flexor_Exercise_Demo_How-to.gif,Beginner
Weighted Incline Twisting Crunch,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Weighted_Incline_Twisting_Crunch_Abs_Core_Oblique_Exercise_Demo_How-to.gif,Intermediate
Weighted Leg Hip Raise,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Weighted_Leg_Hip_Raise_Abs_Core_Exercise_Demo_How-to.gif,Beginner
Weighted Russian Twist on Ball,● Abs,Medicine Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Weighted_Russian_Twist_On_Stability_Ball_Core_Abs_Exercise_Demo_How-to.gif,Beginner
Weighted Side Crunch,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Weighted_Side_Crunch_Abs_Core_Oblique_Exercise_Demo_How-to.gif,Intermediate
Weighted Side Crunch On Ball,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Weighted_Side_Crunch_On_Ball_Exercise_Demo_How-to.gif,Intermediate
Weighted Sit-up - With Bands,● Abs,Resistance Band,https://cdn.fitsw.com/assets/img/exerciseGifs/Weighted_Sit-Ups_with_Band_Abs_Core_Exercise_Demo_How-to.gif,Intermediate
Weighted Twisting Ball Crunch,● Abs,Stability Ball,https://cdn.fitsw.com/assets/img/exerciseGifs/Weighted_Twisting_Ball_Crunch_Exercise_Demo_How-to.gif,Intermediate
Weighted Twisting Crunch,● Abs,Weight Plate,https://cdn.fitsw.com/assets/img/exerciseGifs/Weighted_Twisting_Crunch_Abs_Core_Oblique_Exercise_Demo_How-to.gif,Intermediate
Weighted Vertical Leg Hip Raise,● Abs,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Weighed_Vertical_Leg_Raise_Ab_Exercise_Demo_How-to.gif,Intermediate
Adduction Leg Lift,● Adductors,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Adduction_Leg_Lift_Adductors_Leg_Exercise_Demo_How-to.gif,Beginner
Band Hip Adductions,● Adductors,Resistance Band,https://cdn.fitsw.com/assets/img/exerciseGifs/Band_Hip_Adductions_Hips_Leg_Adductor_Exercise_Demo_How-to.gif,Beginner
Cable Hip Adductors,● Adductors,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Cable_Hip_Adductors_Adductors_Hips_Leg_Exercise_Demo_How-to.gif,Beginner
Cable Lying Hip Adduction,● Adductors,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Cable_Lying_Hip_Adduction_Leg_Exercise_Demo_How-to.gif,Beginner
Cossack Squat,● Adductors,None,https://cdn.fitsw.com/assets/img/exerciseGifs/Alternating_Cossack_Squat_Durability_Exercise.gif,Beginner
Hip Adduction Cable,● Adductors,Cable,https://cdn.fitsw.com/assets/img/exerciseGifs/Hip_Adduction_Cable_Leg_Exercise_Demo_How-to.gif,Beginner
Suspended TRX Adductor Lunge,● Adductors,TRX,https://cdn.fitsw.com/assets/img/exerciseGifs/Suspended_TRX_Adductor_Lunge_Leg_Exercise_Demo_How-to.gif,Intermediate
Thigh Adductor,● Adductors,Machine,https://cdn.fitsw.com/assets/img/exerciseGifs/Thigh_Adductor_Legs_Adductor_Exercise_Demo_How-to.gif,Beginner
21s,● Biceps,Barbell,https://cdn.fitsw.com/assets/img/exerciseGifs/21s_For_Biceps_Exercise_Demo_How-to.gif,Intermediate
Alternate Incline Dumbbell Curl,● Biceps,Dumbbells,https://cdn.fitsw.com/assets/img/exerciseGifs/Incline_Dumbbell_Curl_Biceps_Arm_Exercise_Demo_How-to.gif,Beginner
Alternating Hammer Curls,● Biceps,Dumbbells,https://cdn.fitsw.com/assets/img/exerciseGifs/Dumbbell_Hammer_Curl_Exercise_Demo_How-to.gif,Beginner
Barbell Bicep Curl EZ-Curl Bar,● Biceps,Barbell,https://cdn.fitsw.com/assets/img/exerciseGifs/Barbell_Bicep_Curl_Exercise_Demo_How-to.gif,Beginner
